FID,UID,POI_ID,NAME,UNIT_SUITE,ADDRESS,DELIV_MODE,CITY,MUNICIPAL,PROV,POST_CODE,LOCATION,PHONE,FAX,TOLL_FREE,WEBSITE,CAF,EPOI_TYPE,SIC_1,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,NAICS_1,NAICS_2,NAICS_3,NAICS_4,NAICS_5,SIC_MJ_GRP,SIC_DIV,LONGITUDE,LATITUDE,PREC_CODE,ATTRIBCODE,STATUS,COMM_NAME,GRP_IND,ELEVATION,ACCURACY,ACQ_TECH,x,y
1486,4947F784-DDD3-4782-BED4-CB3FA6FBAA6B,POI1978312,G&E SHEET METAL FABRICATION & INSULATION LTD, ,PO BOX 2215, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2P6, ,867-873-8334,867-873-9734, , , , ,17420000,00000000,00000000,00000000,00000000,00000000,23542,42151,42133,00000,00000,17,C,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1487,12280B42-E215-4103-A34A-0EA840718218,POI1978322,YELLOWKNIFE HOUSING AUTHORITY, ,5105 50 ST, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A1S1, ,867-873-5694,867-873-9323, , ,ADD988075, ,65130000,83220000,95310000,00000000,00000000,00000000,53111,624229,92511,00000,00000,65,H,-114.3682093,62.4526748,2,2, , ,POI1978322,185.64,25,6,-114.368209299919,62.4526747999021
1488,CF20A3CC-DBD9-42E3-9897-73247C8A0A3D,POI1978324,EXPLOSIVES LTD, ,106 JESKE CRES, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3V3, ,867-873-3423,867-873-6035, ,http://www.explosives.com, , ,51690000,00000000,00000000,00000000,00000000,00000000,42269,00000,00000,00000,00000,51,F,-114.4129199,62.4520214,2,2, , , ,200.496,25,6,-114.412919900333,62.4520214001676
1489,F463DC25-8319-4495-9D05-3030092B202E,POI1978332,DENE NATION, ,5120 49 ST, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A1P8, ,867-873-4081,867-920-2254, , ,ADD893601, ,86410000,00000000,00000000,00000000,00000000,00000000,92115,81341,00000,00000,00000,86,I,-114.365894,62.452205,2,2, , , ,187.989,25,6,-114.365893999808,62.4522050003606
1490,3365BA19-5FC0-4615-879F-1AB4BC6A621B,POI1978337,NINETY NORTH CONSTRUCTION & DEVELOPMENT LTD, ,PO BOX 2316, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2P7, ,867-873-8583,867-873-2334, ,http://www.ninetynorth.ca, , ,50510000,15210000,17990000,00000000,00000000,00000000,332311,23321,23599,00000,00000,50,F,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1491,171C3DA8-8654-4CDC-8FD7-2499D96E24D4,POI1978342,NORTHWEST TERRITORIES TEACHERS' ASSN, ,PO BOX 2340, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2P7, ,867-873-8501,867-873-2366, , , , ,86410000,82990000,00000000,00000000,00000000,00000000,81341,813211,00000,00000,00000,86,I,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1492,F11E72C8-3AD2-47E4-8F11-A7D3996CBC71,POI1978362,ADVENTURE NORTHWEST LTD, ,PO BOX 2435, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2P8, ,867-920-2196,867-873-4856, , , , ,70110000,79990000,09710000,00000000,00000000,00000000,721199,71399,11421,00000,00000,70,I,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1493,BE142B66-53D4-44C4-80F1-1E485E1EC26A,POI1978368,ENODAH WILDERNESS TRAVEL, ,PO BOX 2382, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2P8, ,867-873-4334, , , , , ,79990000,09710000,00000000,00000000,00000000,00000000,48721,11421,71399,56151,00000,79,I,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1494,2A72C00F-8619-4EB6-9568-07E9688554E4,POI1978380,NORTHERN AIR TRANSPORT ASSOCIATION, ,PO BOX 2457, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2P8, ,867-920-2985, , , , , ,86410000,00000000,00000000,00000000,00000000,00000000,81341,00000,00000,00000,00000,86,I,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1495,FEACCAE0-DBB5-4EE2-B4A2-B0FE4465902E,POI1978384,FUGLSANG PETER C & ASSOCIATES, ,PO BOX 2459, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2P8, ,867-920-4344,867-873-3386, , , , ,81110000,00000000,00000000,00000000,00000000,00000000,54111,00000,00000,00000,00000,81,I,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1496,8A01D1B8-9E5E-43E3-9366-47C29A70EA8D,POI1978391,SUB-ARCTIC SURVEYS LTD, ,226 UTSINGI DRIVE, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2P8, ,867-873-2047,867-873-9079, ,http://www.sub-arctic.ca,ADD1220477, ,87130000,00000000,00000000,00000000,00000000,00000000,54137,54136,00000,00000,00000,87,I,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1497,BFA5C3A1-114C-44C3-8859-4DAF7C784AE3,POI1978393,TERRITORIAL CRANE SERVICE, ,PO BOX 2466, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2P8, ,867-920-4731,867-873-9838, , , , ,16290000,15210000,73530000,17990000,00000000,00000000,23499,23321,532412,23599,00000,16,C,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1498,7131D585-2584-4ABA-BE35-4033888786C4,POI1978398,VIKING CONSTRUCTION, ,PO BOX 2519, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2P8, ,867-873-8040,867-873-8040, , , , ,35240000,15210000,42120000,17990000,00000000,00000000,333112,23321,48411,23599,00000,35,D,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1499,7745B11D-FE4C-49B6-BBD8-00B8BFA7B001,POI1978399,YELLOWKNIFE DAY CARE ASSN, ,5019 51 ST, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A1S5, ,867-873-6369, , , , , ,83510000,00000000,00000000,00000000,00000000,00000000,62441,00000,00000,00000,00000,83,I,-114.3707254,62.4525787,5,2, , , ,188.989,50,6,-114.370725352993,62.4525786677714
1500,1ED917F1-87F9-4720-8D62-4D0B19E8ECC6,POI1978408,VIDEOLAND, ,419 BYRNE RD, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2P8, ,867-873-2212,867-873-6651, , , , ,78410000,00000000,00000000,00000000,00000000,00000000,53223,00000,00000,00000,00000,78,I,-114.40407169,62.4449002881,5,2, , , ,192.988,100,12,-114.404071690156,62.4449002876182
1501,22BC5FCA-00D6-4624-9333-E65293FCD27C,POI1978410,BROMLEY & SON LTD, ,PO BOX 2670, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2P9, ,867-873-8277,867-873-4995, , , , ,65120000,65310000,00000000,00000000,00000000,00000000,53112,531311,00000,00000,00000,65,H,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1502,911FE20B-FEA7-420B-9995-369A17C51DD7,POI1978411,BRUNO'S PIZZA, ,5124 53 ST, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A1V6, ,867-920-2130, , , , , ,58120000,54110000,00000000,00000000,00000000,00000000,72211,44511,00000,00000,00000,58,G,-114.3701906,62.4497646,2,2, , , ,186.713,25,6,-114.370190599916,62.4497646000563
1503,03723A28-FCD8-4F81-A336-55D6715EABB8,POI1978412,CANADIAN MENTAL HEALTH ASSN NWT DIVISION, ,5125 50 ST, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A1S1, ,867-873-3190,867-873-4930,800-661-0844,http://www.nwthelpline.ca,ADD885624, ,86410000,00000000,00000000,00000000,00000000,00000000,81341,00000,00000,00000,00000,86,I,-114.3660668,62.4517664,1,2, , , ,186.695,25,5,-114.366066800043,62.4517664000994
1504,69A7B1C2-EBB2-4CAF-8AA2-C8C0BB24AB08,POI1978415,URSUS AVIATION, ,PO BOX 2635, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2P9, ,867-873-3626,867-588-4131,888-545-6794,http://www.airtindi.com, , ,45810000,73590000,47290000,82990000,41190000,00000000,48819,532411,561599,611512,48711,45,E,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1505,DBE8E8E5-C989-43E5-A99A-6BC6EA9B8F5B,POI1978424,W B WATER SERVICE, ,PO BOX 2670, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2P9, ,867-873-4659, , , , , ,42310000,42120000,00000000,00000000,00000000,00000000,48849,48411,00000,00000,00000,42,E,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1506,16F03A57-24F5-47BA-8272-ABAB84C7DAA2,POI1978426,YELLOWKNIFE FILMS, ,5021 53 ST, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A1V5, ,867-873-8610,867-873-9405, , , , ,78190000,73890000,00000000,00000000,00000000,00000000,334612,51224,00000,00000,00000,78,I,-114.372619,62.451438,2,2, , , ,190.755,25,6,-114.372618999667,62.4514380000637
1507,4155A50D-7C1C-4C20-819C-55A7F4D67C7F,POI1978434,ARCTIC DIVERS (NWT) LTD, ,PO BOX 2812, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2R1, ,867-873-2824, , , , , ,76920000,59410000,73890000,52510000,75380000,00000000,81131,45111,56199,44413,811111,76,I,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1508,9AB03845-DDA5-473B-B78F-212A95F820D0,POI1978435,CAMCO CONSTRUCTION LTD, ,102 ETTHEN DR, ,YELLOWKNIFE,YELLOWKNIFE,NT,X0E0B9, ,867-873-8522,867-873-8518, , ,ADD844792, ,35890000,73490000,33150000,15210000,15420000,00000000,333319,56172,331222,23321,23332,35,D,-114.430419,62.4349128,1,2, , , ,188.31,25,5,-114.430419000436,62.4349128000857
1509,1097FCA1-FBAD-409B-A161-6077EA2BB512,POI1978437,NWT & NUNAVUT CHAMBER OF MINES, ,PO BOX 2818, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2R1, ,867-873-5281,867-920-2145, , , , ,86410000,00000000,00000000,00000000,00000000,00000000,81341,00000,00000,00000,00000,86,I,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1510,B45824AE-DE9F-421A-81F1-EDE2FFB31D17,POI1978438,DENENDEH INVESTMENTS INCORPORATED, ,4504 49 AVE, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A1A7, ,867-920-2764, , , ,ADD1237420, ,62820000,86410000,00000000,00000000,00000000,00000000,52393,92115,00000,00000,00000,62,H,-114.3694484,62.4581096,2,2, , , ,190.438,25,6,-114.369448400223,62.4581095999781
1511,C93ACF38-6429-4EC1-9D4E-B067831FD5F9,POI1978442,NORTHERN TERRITORIES FEDERATION OF LABOUR, ,PO BOX 2787, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2R1, ,867-873-3695,867-873-6979, , , , ,86310000,86410000,00000000,00000000,00000000,00000000,81393,81341,00000,00000,00000,86,I,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1512,4A7F0F96-7DB5-47FB-BBFB-FCE7461618C5,POI1978446,REGISTERED NURSES ASSOCIATION OF THE NORTHWEST TERRITORIES & NUNAVUT, ,PO BOX 2757, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2R1, ,867-873-2745,867-873-2336, ,http://www.nwtrna.com, , ,86410000,80820000,00000000,00000000,00000000,00000000,81341,62412,00000,00000,00000,86,I,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1513,EB60EBDE-B0E3-439E-A451-50E050D69809,POI1978451,BOYD THOMAS, ,PO BOX 2788, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2R1, ,867-873-3904,867-873-2565, , , , ,81110000,00000000,00000000,00000000,00000000,00000000,54111,00000,00000,00000,00000,81,I,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1514,08EB7DD6-4B5C-40C4-A016-D8301D0C1BAB,POI1978457,FLEURY & CO CGA, ,4912 49 ST, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A1P3, ,867-873-3963,867-873-5496, , ,ADD859407, ,87210000,00000000,00000000,00000000,00000000,00000000,541219,00000,00000,00000,00000,87,I,-114.3724359,62.4551773,2,2, , , ,188.317,25,6,-114.372435900396,62.4551773001923
1515,E7D2877A-B2B2-40EB-A2EA-3276A57AB26B,POI1978458,GIRL GUIDES OF CANADA-GUIDES DU CANADA, ,5016 52 ST, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A1T4, ,867-873-3138,867-873-2807, ,http://www.girlguides.com,ADD861723, ,83220000,00000000,00000000,00000000,00000000,00000000,62411,00000,00000,00000,00000,83,I,-114.3727714,62.4519753,1,2, , , ,192.783,25,6,-114.37277139968,62.4519753000201
1516,9BD7C37F-954E-4536-A78D-FE776AB461C3,POI1978477,GREAT SLAVE HELICOPTERS LTD - OPERATIONS, ,PO BOX 7500, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2R3, ,867-873-2081,867-873-6087, ,http://www.greatslaveheli.com, , ,73590000,35320000,10810000,45220000,37210000,00000000,532411,333131,213114,481211,336411,73,I,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1517,EDCD3543-40C5-432E-A114-D2DD6F9D77C3,POI1978478,YELLOWKNIFE EDUCATION DISTRICT NO 1 - MILDRED HALL SCHOOL (K-8), ,5408 50 AVE, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A1E5, ,867-873-5811,867-873-3630, ,http://www.yk1.nt.ca,ADD951357, ,82110000,82440000,00000000,00000000,00000000,00000000,61111,61141,00000,00000,00000,82,I,-114.37855297,62.4509905742,4,2, , , ,198.001,50,6,-114.378552970243,62.450990573856
1518,8A8E6A36-1095-40A4-AC19-9FA86065016D,POI1978481,EXPLORER HOTEL, ,4825 - 49TH AVE, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2R3, ,867-873-3531,867-979-0427,877-422-9422,http://www.explorerhotel.nt.ca, , ,58120000,65120000,70110000,00000000,00000000,00000000,72232,53112,72111,72211,00000,58,G,-114.373340408,62.455827378,5,2, , , ,186.99,100,12,-114.373340407933,62.4558273778313
1519,A1231A21-64DA-4C42-956D-43F7D2B9F740,POI1978500,DANCEAWAY MUSIC SERVICES, ,504 KNUTSEN CRT, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2Y5, ,867-873-8144,867-873-8146, ,http://www.danceaway.ca, , ,72990000,50640000,89990000,00000000,00000000,00000000,81299,42162,71151,00000,00000,72,I,-114.4061173,62.4429824,2,2, , , ,191.988,25,6,-114.406117299774,62.442982399718
1520,74ED7349-E483-46BC-83FD-60C8E2DC133B,POI1978502,SILVERADO PAINTING LTD, ,825 DUSSEAULT CRT, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2Z4, ,867-920-2587,867-873-2985, , , , ,15210000,17210000,17990000,00000000,00000000,00000000,23321,23521,23599,00000,00000,15,C,-114.4086366,62.4377869,2,2, , , ,193.074,25,6,-114.408636600299,62.4377869002453
1521,C01671CA-4906-447E-9040-D12E18DF91E6,POI1978507,CHURCH OF CHRIST, ,516 RANGE LAKE RD, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3A8, ,867-873-3875, , , ,ADD871929, ,86610000,00000000,00000000,00000000,00000000,00000000,81311,00000,00000,00000,00000,86,I,-114.4162687,62.4411424,5,2, , , ,189.989,50,6,-114.41618607163,62.4411965116098
1522,FD64FCCF-51C9-49DE-9650-96DE9167ED9E,POI1978508,BUMPER TO BUMPER, ,316 WOOLGAR AVE, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3B5, ,867-920-2244,867-873-8940, ,http://www.bumpertobumper.ca, , ,13210000,50130000,00000000,00000000,00000000,00000000,211112,42112,00000,00000,00000,13,B,-114.4103572,62.4446247,5,2, , , ,193.986,50,6,-114.410357149962,62.444624706565
1523,E1E86C2B-0058-4E15-941E-DEE03A3B615B,POI1978509,FITZGERALD CARPETING LTD, ,304 WOOLGAR AVE, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3B5, ,867-873-5768,867-920-4856, , ,ADD909117, ,50310000,52310000,73590000,57130000,32530000,00000000,42131,44412,53249,44221,327122,50,F,-114.4084967,62.4438954,5,2, , , ,192.987,50,6,-114.408496699963,62.4438953995531
1524,77344105-B80E-42CC-B8B2-76117393D40C,POI1978511,NORTHERN FANCY MEATS, ,314 WOOLGAR AVE, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3B5, ,867-873-8767,867-873-8452, , , , ,54210000,58120000,00000000,00000000,00000000,00000000,44521,44522,72211,00000,00000,54,G,-114.4095041,62.4446723,1,2, , , ,192.988,25,5,-114.409504099834,62.444672299587
1525,F5273E61-93C8-424B-BE47-1830CBC75C57,POI1978514,PIONEER SUPPLY HOUSE, ,349 OLD AIRPORT RD, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3X6, ,867-873-3559,867-873-3397, , ,ADD968452, ,26750000,51360000,50870000,50490000,50460000,00000000,42185,42145,44211,42232,45321,26,D,-114.4138982,62.458186,1,2, , , ,207.476,25,5,-114.413898199942,62.4581860000839
1526,AD800112-D23E-437E-8061-0E77722A3FD6,POI1978522,BOREALIS HOUSING CO-OPERATIVE, ,2017 FINLAYSON DR, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3C7, ,867-873-8716, , , , , ,86410000,00000000,00000000,00000000,00000000,00000000,81341,00000,00000,00000,00000,86,I,-114.4108241,62.4389935,2,2, , , ,193.387,25,6,-114.410824099553,62.4389934999501
1527,51B6ACE2-A8AF-438B-A9B8-0FB99BBD0822,POI1978529,VILLAGE REDDI-MART, ,416 BYRNE RD, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3G3, ,867-873-8080, , , , , ,59210000,54110000,00000000,00000000,00000000,00000000,44531,44512,00000,00000,00000,59,G,-114.40329,62.4445581,1,2, , , ,191.394,25,5,-114.403290000333,62.4445581000763
1528,5F2770E2-68E0-4152-AED6-CE563ECF5210,POI1978530,GTM PHOTOGRAPHICS, ,PO BOX 2771, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2R1, ,867-873-5131,867-669-0531, , , , ,73350000,73840000,00000000,00000000,00000000,00000000,541922,812921,00000,00000,00000,73,I,-114.371073,62.454585,6,2, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
1529,D1EEFF38-A4FD-468B-9456-6B919822B555,POI1978534,CHAR DEVELOPMENTS LTD, ,902 WILLIAMS AVE, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3J3, ,867-873-2410, , , , , ,65130000,00000000,00000000,00000000,00000000,00000000,53111,00000,00000,00000,00000,65,H,-114.4105496,62.4415292,5,2, , , ,194.988,50,6,-114.410549555418,62.441529194217
1530,F1C29E53-765A-4A19-9A97-ECF157510E6C,POI1978536,"NEXUS GROUP, THE", ,5049 FINLAYSON DR, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3J5, ,867-873-8780,867-669-9595, , , , ,87420000,00000000,00000000,00000000,00000000,00000000,541611,541613,00000,00000,00000,87,I,-114.427237,62.440995,2,2, , , ,192.987,25,6,-114.427237000287,62.4409949996196
1531,238EE00C-FDD9-49DE-8C70-787650E881C9,POI1978537,CARL'S CARPET CLEANING LTD, ,20 BALLANTYNE CRT, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3Y3, ,867-873-9109, , , ,ADD940344, ,72170000,76990000,73490000,00000000,00000000,00000000,56174,81149,56172,333319,00000,72,I,-114.3643914,62.4650364,2,2, , , ,181.53,25,6,-114.364391399943,62.4650363996102
1532,55023452-AE5C-44CB-8890-47750AF88E56,POI1978538,RUSS WALLACE SHEET METAL INSTALLATIONS, ,65 HORDAL RD, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3J7, ,867-873-2181, , , , , ,17610000,17110000,50740000,00000000,00000000,00000000,23561,23511,42172,42151,00000,17,C,-114.4238001,62.4367616,2,2, , , ,189.192,25,6,-114.423800099895,62.4367616002677
1533,FA9513E9-7757-405A-9587-F36865565A69,POI1978549,PREMIUM HOMES LTD, ,10 TEES CRT, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3L5, ,867-920-2678,867-920-4259, , , , ,52110000,15210000,17990000,00000000,00000000,00000000,44419,23321,23599,00000,00000,52,G,-114.419799,62.44608,2,2, , , ,200.953,25,6,-114.419798999924,62.4460800002918
1534,F23DB5C0-527B-4C06-825F-796138EBC669,POI1978563,THYSSENKRUPP ELEVATOR, ,5014 49 ST, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3R7, ,867-873-3232,867-920-7177, , ,ADD861501, ,35340000,41190000,50840000,00000000,00000000,00000000,333921,485991,00000,00000,00000,35,D,-114.3693584,62.4537558,2,2, , , ,187.989,25,6,-114.36935839967,62.45375580029
1535,212F46D6-CEA2-43F4-8D86-44317CB2E7FA,POI1978566,NORTHERN TRANSITION, ,5014 49 ST, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3R7, ,867-873-9908,867-873-6593, , ,ADD861501, ,59470000,23390000,73890000,56510000,00000000,00000000,45322,54149,44814,45113,00000,59,G,-114.3693584,62.4537558,2,2, , , ,187.989,25,6,-114.36935839967,62.45375580029
1536,BA9AC13E-E345-4C7F-91A1-8FE440EF42FB,POI1978569,REDDI MART CONVENIENCE STORES, ,5014 49 ST, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3R7, ,867-873-9844, , , ,ADD861501, ,54410000,54110000,20660000,00000000,00000000,00000000,445292,44512,31132,00000,00000,54,G,-114.3693584,62.4537558,2,2, , , ,187.989,25,6,-114.36935839967,62.45375580029
1537,C8C5F29B-E5DB-46F3-AB00-6C1AEB02B6B0,POI1978572,ARCTIC SPIRIT PROMOTIONS, ,5107 48 ST, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A1N5, ,867-873-6909,867-920-4591,800-661-0828,http://www.arcticspirit.com,ADD963526, ,56110000,51310000,51990000,56990000,72180000,00000000,44811,42231,54189,44819,812332,56,G,-114.365651,62.453561,5,2, , , ,188.988,50,6,-114.365651000293,62.4535609999402
1538,682B4659-B70C-4188-8D64-A9A1E7F8FD96,POI1978575,LOONY LOONIES STORE, ,5014 49 ST, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3R7, ,867-669-7227, , , ,ADD861501, ,59450000,00000000,00000000,00000000,00000000,00000000,45112,00000,00000,00000,00000,59,G,-114.3693584,62.4537558,2,2, , , ,187.989,25,6,-114.36935839967,62.45375580029
1539,4E768711-9D95-414A-A427-0B6CE7D97DEA,POI1978580,AURORA COLLEGE HEAD OFFICE - YELLOWKNIFE CAMPUS, ,5004 54 ST, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2R6, ,867-920-3030,867-872-4511,866-266-4966, ,ADD927117, ,91210000,82210000,91110000,82440000,00000000,00000000,92112,61131,92111,61141,00000,91,J,-114.3762878,62.4514371,2,2, , , ,196.283,25,6,-114.376287800142,62.4514370998423
1540,C633F04E-0385-4FC5-ADA6-D3F597442915,POI1978581,CENTRE SQUARE, ,5022 49 ST, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3R8, ,867-873-9802,867-873-9835, , ,ADD825758, ,65310000,65120000,00000000,00000000,00000000,00000000,531311,53112,00000,00000,00000,65,H,-114.3686973,62.4534547,2,2, , , ,186.99,25,6,-114.36869729994,62.4534547000744
1541,6B6A00B2-54FB-4DE5-B3C0-40E01C9E5653,POI1978586,SAM'S MONKEY TREE PUB, ,483 RANGE LAKE RD, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3R9, ,867-920-4914, , , ,ADD920563, ,58130000,00000000,00000000,00000000,00000000,00000000,72241,00000,00000,00000,00000,58,G,-114.4099526,62.4458598,2,2, , , ,193.986,25,6,-114.409952599833,62.4458598003895
1542,3140CB06-1D80-4BC5-B493-7CA7CF2DC80B,POI1978611,ARCTIC ALARM, ,4817 49 ST, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3S7, ,867-873-3117,867-873-8310, , ,ADD950688, ,76290000,50450000,73820000,59990000,73730000,00000000,811213,42143,561621,443112,541512,76,I,-114.3737037,62.4562309,2,2, , , ,186.99,25,6,-114.373703699866,62.4562309000361
1543,0A757266-1ABD-4BCA-877E-2C14EBF81826,POI1978629,APPRAISALS NORTH LTD, ,5204 50 AVE, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A1E2, ,867-873-2816,867-873-2244, , ,ADD815877, ,65310000,00000000,00000000,00000000,00000000,00000000,53132,00000,00000,00000,00000,65,H,-114.3752815,62.4528074,2,2, , , ,192.701,25,6,-114.375281500141,62.4528074004413
1544,15AECF66-1E5D-496D-B9DE-93F76E8F8BF5,POI1978630,ARCTIC WEST ADJUSTERS, ,5204 50 AVE, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A1E2, ,867-920-2212,867-873-2244, ,http://arcticwestadjusters.webs.com,ADD815877, ,73810000,64110000,65310000,00000000,00000000,00000000,561611,524291,53132,00000,00000,73,I,-114.3752815,62.4528074,2,2, , , ,192.701,25,6,-114.375281500141,62.4528074004413
1545,BB1D2835-9326-4F11-9830-A96A1DBE75CE,POI1978632,WYEAT JANITORIAL SERVICES LTD, ,5204 50 AVE, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A1E2, ,867-873-5352, , , ,ADD815877, ,73490000,72170000,00000000,00000000,00000000,00000000,56172,56174,00000,00000,00000,73,I,-114.3752815,62.4528074,2,2, , , ,192.701,25,6,-114.375281500141,62.4528074004413
1546,3316B8D2-DE78-4EF7-AF6A-BE64BCC6AB60,POI1978642,NORTHWEST TRANSPORT, ,7 YELLOWKNIFE AIRPORT, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3T2, ,867-873-3591,867-873-2247,800-661-0742,http://www.nwtl.com, , ,42120000,42310000,00000000,00000000,00000000,00000000,48411,48849,00000,00000,00000,42,E,-114.416471,62.440928,6,2, , , ,189.989,-1,12,-114.416471000236,62.4409280001271
1547,74D268B5-4B3C-4733-9EFF-E74029ACAB59,POI1978650,TIM HORTONS, ,309 OLD AIRPORT RD, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3T3, ,867-873-4999, , ,http://www.timhortons.com, , ,58120000,54610000,00000000,00000000,00000000,00000000,722213,72211,445291,311811,722211,58,G,-114.4099973,62.4481481,1,2, , , ,193.987,25,5,-114.409997299736,62.4481481001548
1548,015561B0-4758-47C0-8603-D6A3C3D5E973,POI1978651,WESTOWN TIRE SERVICE LTD, ,335 OLD AIRPORT RD, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3T3, ,867-873-6190,867-920-4763, , ,ADD955020, ,55310000,50140000,75490000,00000000,00000000,00000000,44132,42113,48841,00000,00000,55,G,-114.409828,62.4545617,1,2, , , ,200.17,25,5,-114.409827999662,62.4545616998626
